Insee - Statistiques locales; ; 
Référentiel géographique : France par commune; ; 
Code;Libellé;Commerce alimentaire (localisation) 2020
101033;null;B100
101034;null;B100
101035;null;B100
101036;null;B200
101037;null;B200
101038;null;B200
101039;null;B200
10104;null;B204
101040;null;B200
101041;null;B200
101042;null;B200
101043;null;B200
101044;null;B200
101045;null;B200
101046;null;B200
101047;null;B203
101048;null;B203
101049;null;B203
10105;null;B100
101050;null;B100
101051;null;B203
101052;null;B204
101053;null;B206
101054;null;B203
101055;null;B203
101056;null;B203
101057;null;B203
101058;null;B203
101059;null;B203
10106;null;B200
101060;null;B203
101061;null;B203
101062;null;B203
101063;null;B204
101064;null;B204
101065;null;B204
101066;null;B204
101067;null;B206
101068;null;B206
101069;null;B203
10107;null;B203
101070;null;B203
101071;null;B203
101072;null;B100
101073;null;B100
101074;null;B200
101075;null;B200
101076;null;B203
101077;null;B203
101078;null;B203
101079;null;B203
10108;null;B203
101080;null;B203
101081;null;B203
101082;null;B100
101083;null;B200
101084;null;B203
101085;null;B203
101086;null;B203
101087;null;B203
101088;null;B204
101089;null;B100
10109;null;B203
101090;null;B100
101091;null;B200
101092;null;B203
101093;null;B203
101094;null;B203
101095;null;B203
101096;null;B206
101097;null;B203
101098;null;B203
101099;null;B204
1011;null;B100
10110;null;B203
101100;null;B204
101101;null;B206
101102;null;B206
101103;null;B100
101104;null;B203
101105;null;B203
101106;null;B200
101107;null;B200
101108;null;B200
101109;null;B203
10111;null;B204
101110;null;B100
101111;null;B100
101112;null;B200
101113;null;B200
101114;null;B200
101115;null;B203
101116;null;B203
101117;null;B203
101118;null;B203
101119;null;B204
10112;null;B204
101120;null;B100
101121;null;B203
101122;null;B200
101123;null;B200
101124;null;B203
101125;null;B203
101126;null;B204
101127;null;B200
101128;null;B203
101129;null;B203
10113;null;B204
101130;null;B204
101131;null;B200
101132;null;B203
101133;null;B203
101134;null;B200
101135;null;B200
101136;null;B200
101137;null;B204
101138;null;B200
101139;null;B203
10114;null;B204
101140;null;B200
101141;null;B203
101142;null;B203
101143;null;B203
101144;null;B203
101145;null;B203
101146;null;B200
101147;null;B203
101148;null;B203
101149;null;B204
10115;null;B204
101150;null;B204
101151;null;B204
101152;null;B203
101153;null;B203
101154;null;B203
101155;null;B203
101156;null;B204
101157;null;B100
101158;null;B203
101159;null;B204
10116;null;B204
101160;null;B204
101161;null;B100
101162;null;B100
101163;null;B100
101164;null;B100
101165;null;B100
101166;null;B100
101167;null;B100
101168;null;B100
101169;null;B100
10117;null;B204
101170;null;B100
101171;null;B100
101172;null;B100
101173;null;B100
101174;null;B100
101175;null;B100
101176;null;B200
101177;null;B203
101178;null;B100
101179;null;B100
10118;null;B204
101180;null;B203
101181;null;B203
101182;null;B203
101183;null;B204
101184;null;B200
101185;null;B200
101186;null;B200
101187;null;B200
101188;null;B200
101189;null;B200
10119;null;B204
101190;null;B200
101191;null;B200
101192;null;B200
101193;null;B200
101194;null;B200
101195;null;B200
101196;null;B200
101197;null;B200
101198;null;B200
101199;null;B200
1012;null;B203
10120;null;B204
101200;null;B200
101201;null;B200
101202;null;B200
101203;null;B200
101204;null;B200
101205;null;B200
101206;null;B200
101207;null;B200
101208;null;B200
101209;null;B200
10121;null;B204
101210;null;B200
101211;null;B203
101212;null;B204
101213;null;B204
101214;null;B200
101215;null;B200
101216;null;B200
101217;null;B200
101218;null;B200
101219;null;B200
10122;null;B204
101220;null;B200
101221;null;B200
101222;null;B200
101223;null;B200
101224;null;B200
101225;null;B200
101226;null;B200
101227;null;B200
101228;null;B200
101229;null;B200
10123;null;B204
101230;null;B200
101231;null;B200
101232;null;B200
101233;null;B200
101234;null;B203
101235;null;B203
101236;null;B203
101237;null;B203
101238;null;B203
101239;null;B203
10124;null;B204
101240;null;B203
101241;null;B203
101242;null;B203
101243;null;B203
101244;null;B100
101245;null;B100
101246;null;B100
101247;null;B200
101248;null;B200
101249;null;B200
10125;null;B204
101250;null;B203
101251;null;B203
101252;null;B203
101253;null;B100
101254;null;B100
101255;null;B100
101256;null;B200
101257;null;B203
101258;null;B203
101259;null;B204
10126;null;B206
101260;null;B204
101261;null;B206
101262;null;B203
101263;null;B204
101264;null;B100
101265;null;B200
101266;null;B200
101267;null;B200
101268;null;B200
101269;null;B200
10127;null;B100
101270;null;B203
101271;null;B203
101272;null;B204
101273;null;B204
101274;null;B204
101275;null;B203
101276;null;B203
101277;null;B203
101278;null;B203
101279;null;B203
10128;null;B203
101280;null;B203
101281;null;B203
101282;null;B203
101283;null;B203
101284;null;B203
101285;null;B203
101286;null;B203
101287;null;B203
101288;null;B203
101289;null;B203
10129;null;B200
101290;null;B203
101291;null;B203
101292;null;B203
101293;null;B203
101294;null;B203
101295;null;B203
101296;null;B203
101297;null;B203
101298;null;B203
101299;null;B203
1013;null;B203
10130;null;B203
101300;null;B203
101301;null;B203
101302;null;B203
101303;null;B203
101304;null;B200
101305;null;B203
101306;null;B204
101307;null;B200
101308;null;B204
101309;null;B204
10131;null;B200
101310;null;B203
101311;null;B203
101312;null;B203
101313;null;B203
101314;null;B204
101315;null;B204
101316;null;B204
101317;null;B200
101318;null;B200
101319;null;B203
10132;null;B203
101320;null;B204
101321;null;B200
101322;null;B203
101323;null;B204
101324;null;B204
101325;null;B204
101326;null;B204
101327;null;B200
101328;null;B203
101329;null;B203
10133;null;B203
101330;null;B200
101331;null;B204
101332;null;B204
101333;null;B204
101334;null;B204
101335;null;B200
101336;null;B203
101337;null;B200
101338;null;B200
101339;null;B204
10134;null;B203
101340;null;B100
101341;null;B200
101342;null;B203
101343;null;B100
101344;null;B200
101345;null;B200
101346;null;B200
101347;null;B200
101348;null;B200
101349;null;B200
10135;null;B203
101350;null;B203
101351;null;B203
101352;null;B203
101353;null;B204
101354;null;B100
101355;null;B100
101356;null;B100
101357;null;B100
101358;null;B100
101359;null;B100
10136;null;B200
101360;null;B200
101361;null;B200
101362;null;B200
101363;null;B200
101364;null;B200
101365;null;B203
101366;null;B203
101367;null;B204
101368;null;B204
101369;null;B206
10137;null;B204
101370;null;B204
101371;null;B200
101372;null;B203
101373;null;B203
101374;null;B200
101375;null;B200
101376;null;B203
101377;null;B203
101378;null;B203
101379;null;B203
10138;null;B100
101380;null;B203
101381;null;B203
101382;null;B203
101383;null;B203
101384;null;B203
101385;null;B203
101386;null;B203
101387;null;B203
101388;null;B203
101389;null;B203
10139;null;B100
101390;null;B203
101391;null;B204
101392;null;B204
101393;null;B204
101394;null;B204
101395;null;B204
101396;null;B206
101397;null;B100
101398;null;B100
101399;null;B200
1014;null;B203
10140;null;B200
101400;null;B200
101401;null;B200
101402;null;B203
101403;null;B203
101404;null;B203
101405;null;B100
101406;null;B200
101407;null;B200
101408;null;B200
101409;null;B203
10141;null;B200
101410;null;B203
101411;null;B203
101412;null;B203
101413;null;B203
101414;null;B204
101415;null;B200
101416;null;B200
101417;null;B203
101418;null;B204
101419;null;B204
10142;null;B203
101420;null;B203
101421;null;B204
101422;null;B200
101423;null;B200
101424;null;B203
101425;null;B203
101426;null;B203
101427;null;B203
101428;null;B204
101429;null;B204
10143;null;B203
101430;null;B204
101431;null;B204
101432;null;B204
101433;null;B204
101434;null;B204
101435;null;B204
101436;null;B204
101437;null;B204
101438;null;B204
101439;null;B200
10144;null;B203
101440;null;B203
101441;null;B204
101442;null;B100
101443;null;B200
101444;null;B203
101445;null;B203
101446;null;B203
101447;null;B203
101448;null;B204
101449;null;B204
10145;null;B203
101450;null;B204
101451;null;B200
101452;null;B200
101453;null;B203
101454;null;B200
101455;null;B203
101456;null;B200
101457;null;B203
101458;null;B200
101459;null;B203
10146;null;B204
101460;null;B203
101461;null;B200
101462;null;B204
101463;null;B100
101464;null;B100
101465;null;B200
101466;null;B203
101467;null;B203
101468;null;B203
101469;null;B204
10147;null;B204
101470;null;B204
101471;null;B204
101472;null;B200
101473;null;B203
101474;null;B203
101475;null;B204
101476;null;B200
101477;null;B204
101478;null;B204
101479;null;B204
10148;null;B203
101480;null;B100
101481;null;B100
101482;null;B100
101483;null;B200
101484;null;B200
101485;null;B200
101486;null;B203
101487;null;B203
101488;null;B203
101489;null;B203
10149;null;B203
101490;null;B203
101491;null;B203
101492;null;B203
101493;null;B203
101494;null;B100
101495;null;B203
101496;null;B100
101497;null;B203
101498;null;B203
101499;null;B203
1015;null;B203
10150;null;B200
101500;null;B203
101501;null;B203
101502;null;B203
101503;null;B203
101504;null;B203
101505;null;B203
101506;null;B203
101507;null;B204
101508;null;B204
101509;null;B204
10151;null;B203
101510;null;B204
101511;null;B204
101512;null;B204
101513;null;B204
101514;null;B204
101515;null;B206
101516;null;B200
101517;null;B200
101518;null;B203
101519;null;B200
10152;null;B204
101520;null;B203
101521;null;B203
101522;null;B200
101523;null;B204
101524;null;B200
101525;null;B203
101526;null;B200
101527;null;B203
101528;null;B203
101529;null;B203
10153;null;B200
101530;null;B204
